Age,Number of Dependents,Number of Referrals,Monthly Charge,Family_Status,Discounted_Plan,City_Frequency,Senior Citizen_True,Married_True,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet,Online Security_Yes,Premium Tech Support_Yes,Contract_One Year,Contract_Two Year,Paperless Billing_Yes,Payment Method_Credit Card,Payment Method_Mailed Check,Churn_Label_Encoded,Charge_Segment,Age_Segment,City_Size_Category,City_Frequency_Category,City
77,0,0,28.45,0,1,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Low Spend (<40),Senior (55+),Large,High,Riverside
77,0,0,94.1,0,0,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Medium,Medium,Hemet
72,0,4,74.35,0,0,16,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Medium,Medium,Moreno Valley
80,0,2,75.2,0,0,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Medium,Medium,Perris
74,0,0,89.2,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,Anaheim
68,0,0,85.7,0,0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Medium,Medium,Brea
78,0,3,105.25,0,0,8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,High Spend (>80),Senior (55+),Medium,Medium,Yorba Linda
75,0,3,90.05,0,0,4,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Summerland
77,0,1,110.75,0,0,28,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,Santa Barbara
80,0,0,104.55,0,0,4,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Alpaugh
75,0,7,94.55,0,0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Camp Nelson
69,0,0,89.5,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Delano
74,0,0,19.65,0,1,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Low Spend (<40),Senior (55+),Very Small,Very Low,Fellows
76,0,0,49.15,0,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,Temecula
69,0,0,49.25,0,0,285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,San Diego
72,0,1,94.5,0,0,285,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,San Diego
69,0,0,91.7,0,0,285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,High Spend (>80),Senior (55+),Large,High,San Diego
73,0,0,98.55,0,0,285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,San Diego
65,0,0,110.0,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Biola
74,0,1,95.6,0,0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Selma
65,0,0,78.85,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Very Small,Very Low,Squaw Valley
66,0,0,100.0,0,0,61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,Fresno
71,0,1,73.65,0,0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Very Small,Very Low,Jolon
65,0,0,100.5,0,0,104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,San Francisco
69,0,0,72.85,0,0,104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,San Francisco
75,0,0,73.55,0,0,104,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,San Francisco
75,0,0,79.4,0,0,104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,San Francisco
68,0,0,84.6,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Medium,Medium,Palo Alto
71,0,0,99.05,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Birds Landing
80,0,0,44.95,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Mid Spend (40-80),Senior (55+),Very Small,Very Low,Byron
66,0,0,100.3,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,High Spend (>80),Senior (55+),Medium,Medium,Fremont
73,0,2,30.35,0,0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Low Spend (<40),Senior (55+),Very Small,Very Low,Livermore
77,0,1,103.75,0,0,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Medium,Medium,Napa
76,0,1,80.6,0,0,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Medium,Medium,Pleasanton
65,0,0,94.3,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,San Ramon
75,0,1,75.5,0,0,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Medium,Medium,Pleasanton
75,0,0,100.6,0,0,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,Berkeley
68,0,1,88.3,0,0,32,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1,High Spend (>80),Senior (55+),Large,High,Berkeley
71,0,0,92.1,0,0,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,Berkeley
74,0,0,90.45,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Greenbrae
77,0,0,43.65,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Very Small,Very Low,Forest Knolls
73,0,0,74.3,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Very Small,Very Low,Freedom
68,0,0,89.7,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Gilroy
74,0,1,100.45,0,0,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,High Spend (>80),Senior (55+),Medium,Medium,Los Gatos
65,0,1,105.65,0,0,112,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,San Jose
73,0,5,104.05,0,0,112,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,San Jose
74,0,1,80.4,0,0,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Glencoe
80,0,0,60.05,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Very Small,Very Low,Columbia
76,0,0,96.15,0,0,51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,Escondido
73,0,0,95.25,0,0,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,High Spend (>80),Senior (55+),Medium,Medium,Lakewood
70,0,1,89.6,0,0,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Fulton
75,0,1,89.5,0,0,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Nice
74,0,1,85.6,0,0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Alderpoint
76,0,0,86.6,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Bayside
75,0,0,69.25,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Very Small,Very Low,Loleta
74,0,0,25.2,0,1,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Low Spend (<40),Senior (55+),Very Small,Very Low,Rio Dell
73,0,0,95.05,0,0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Medium,Medium,Davis
69,0,0,79.2,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Very Small,Very Low,Folsom
75,0,1,94.25,0,0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Madison
65,0,0,99.8,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Pleasant Grove
77,0,0,93.85,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Sheridan
67,0,0,84.4,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Wheatland
78,0,0,75.55,0,0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,Mid Spend (40-80),Senior (55+),Medium,Medium,Rancho Cordova
65,0,0,96.7,0,0,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Canyon Dam
74,0,0,88.2,0,0,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Dobbins
70,0,0,75.65,0,0,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Very Small,Very Low,Forest Ranch
69,0,0,74.7,0,0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Medium,Medium,Grass Valley
76,0,0,25.8,0,1,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,Low Spend (<40),Senior (55+),Very Small,Very Low,Nevada City
71,0,0,95.35,0,0,51,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,Escondido
76,0,0,45.0,0,0,43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,Fallbrook
77,0,1,80.45,0,0,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Lewiston
74,0,0,74.7,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Very Small,Very Low,Palo Cedro
77,0,0,88.8,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Very Small,Very Low,Round Mountain
76,0,1,89.05,0,0,285,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,San Diego
77,0,0,94.75,0,0,285,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,San Diego
80,0,1,85.35,0,0,285,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,San Diego
68,0,0,45.05,0,0,285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,San Diego
79,0,0,84.65,0,0,285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,San Diego
65,0,0,79.1,0,0,285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,San Diego
68,0,0,50.15,0,0,285,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,Mid Spend (40-80),Senior (55+),Large,High,San Diego
72,0,0,69.6,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Small,Low,Hermosa Beach
66,0,0,113.2,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Medium,Medium,Buena Park
68,0,0,90.5,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Medium,Medium,Buena Park
69,0,1,85.0,0,0,60,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,Long Beach
76,0,1,85.3,0,0,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,High Spend (>80),Senior (55+),Small,Low,South Pasadena
70,0,1,44.85,0,0,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,Glendale
71,0,0,45.1,0,0,40,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,Glendale
